,genelength,GCcontent,Gcontent,Acontent
Zm00001eb440450_T001,420,66.66666666666666,27.142857142857142,19.761904761904763
Zm00001eb442390_T001,429,46.386946386946384,23.310023310023308,26.340326340326342
Zm00001eb442410_T001,267,53.93258426966292,24.719101123595504,23.220973782771537
Zm00001eb442420_T001,312,71.47435897435898,28.205128205128204,15.064102564102564
Zm00001eb442400_T001,384,38.80208333333333,16.927083333333336,33.07291666666667
Zm00001eb438630_T001,1707,43.116578793204454,23.022847100175746,33.68482718219098
Zm00001eb437250_T001,462,37.44588744588744,21.428571428571427,35.28138528138528
Zm00001eb437160_T001,420,44.285714285714285,24.761904761904763,28.809523809523807
Zm00001eb437170_T001,513,31.968810916179336,12.475633528265107,38.59649122807017
Zm00001eb437210_T001,387,44.96124031007752,23.51421188630491,26.098191214470283
Zm00001eb437270_T001,444,34.45945945945946,19.144144144144143,28.153153153153156
Zm00001eb437150_T001,447,36.241610738255034,18.79194630872483,37.58389261744966
Zm00001eb437200_T001,684,39.32748538011696,18.567251461988306,30.263157894736842
Zm00001eb437220_T001,2205,41.49659863945578,21.8140589569161,24.94331065759637
Zm00001eb437280_T001,636,42.29559748427673,25.31446540880503,21.069182389937108
Zm00001eb437290_T001,1062,43.87947269303202,22.88135593220339,21.75141242937853
Zm00001eb437320_T001,498,46.1847389558233,28.313253012048197,30.923694779116467
Zm00001eb437300_T001,363,34.710743801652896,15.977961432506888,26.72176308539945
Zm00001eb437260_T001,1785,36.246498599439775,18.935574229691877,32.94117647058823
Zm00001eb437230_T001,1524,42.25721784776903,22.440944881889763,30.839895013123357
Zm00001eb437240_T001,744,37.903225806451616,18.682795698924732,27.688172043010752
Zm00001eb437180_T001,963,40.39460020768432,22.01453790238837,30.529595015576323
Zm00001eb437190_T001,321,45.482866043613704,28.037383177570092,27.102803738317753
Zm00001eb437310_T001,1062,42.090395480225986,21.84557438794727,22.598870056497177
Zm00001eb438910_T001,300,75.66666666666667,33.666666666666664,10.0
Zm00001eb438950_T001,942,63.90658174097664,29.936305732484076,20.70063694267516
Zm00001eb438860_T001,390,65.8974358974359,34.35897435897436,21.53846153846154
Zm00001eb438930_T001,366,58.7431693989071,26.775956284153008,21.311475409836063
Zm00001eb438880_T001,297,77.10437710437711,42.76094276094276,13.468013468013467
Zm00001eb438920_T001,345,39.130434782608695,18.84057971014493,39.130434782608695
Zm00001eb438870_T001,345,60.86956521739131,27.246376811594203,25.217391304347824
Zm00001eb438900_T001,633,64.45497630331754,29.85781990521327,22.432859399684045
Zm00001eb438940_T001,300,75.66666666666667,33.666666666666664,10.0
Zm00001eb439020_T001,1548,41.21447028423773,22.739018087855296,34.56072351421189
Zm00001eb442030_T001,324,70.67901234567901,40.74074074074074,18.209876543209877
Zm00001eb442020_T001,1179,69.97455470737913,33.67260390161154,14.41899915182358
Zm00001eb442050_T001,423,52.4822695035461,26.47754137115839,23.87706855791962
Zm00001eb442740_T001,744,37.903225806451616,18.682795698924732,27.688172043010752
Zm00001eb442720_T001,1062,43.87947269303202,22.88135593220339,21.75141242937853
Zm00001eb442730_T001,465,37.41935483870968,21.29032258064516,35.26881720430107
Zm00001eb442710_T001,1062,42.090395480225986,21.84557438794727,22.598870056497177
Zm00001eb442550_T001,243,61.31687242798354,34.15637860082305,21.39917695473251
Zm00001eb442180_T001,222,42.792792792792795,23.423423423423422,25.675675675675674
Zm00001eb442170_T001,828,48.429951690821255,23.55072463768116,21.73913043478261
Zm00001eb438620_T001,483,41.821946169772254,21.11801242236025,29.39958592132505
Zm00001eb438980_T001,624,40.06410256410257,19.71153846153846,34.61538461538461
Zm00001eb438970_T001,456,39.473684210526315,21.052631578947366,37.719298245614034
Zm00001eb439010_T001,1200,40.416666666666664,20.75,22.416666666666664
Zm00001eb437110_T001,636,42.29559748427673,25.31446540880503,21.069182389937108
Zm00001eb437090_T001,498,46.1847389558233,28.313253012048197,30.923694779116467
Zm00001eb437130_T001,213,38.497652582159624,20.657276995305164,33.33333333333333
Zm00001eb437120_T001,444,34.45945945945946,19.144144144144143,28.153153153153156
Zm00001eb437140_T001,507,37.67258382642998,21.499013806706113,34.51676528599605
Zm00001eb437080_T001,471,39.70276008492569,21.86836518046709,37.15498938428875
Zm00001eb437070_T001,180,42.22222222222222,21.11111111111111,25.555555555555554
Zm00001eb437100_T001,1062,42.090395480225986,21.84557438794727,22.598870056497177
Zm00001eb442690_T001,735,70.74829931972789,37.006802721088434,15.646258503401361
Zm00001eb442700_T001,189,69.31216931216932,40.74074074074074,17.989417989417987
Zm00001eb441610_T001,294,73.46938775510205,33.6734693877551,14.285714285714285
Zm00001eb441640_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb441660_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb441650_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb441620_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb441630_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb441400_T001,321,60.43613707165109,28.971962616822427,15.57632398753894
Zm00001eb441830_T001,882,67.12018140589569,33.78684807256236,18.027210884353742
Zm00001eb442160_T001,1233,58.06974858069749,27.818329278183292,24.817518248175183
Zm00001eb438170_T001,1866,47.05251875669882,23.097534833869236,22.508038585209004
Zm00001eb443020_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb443010_T001,231,77.05627705627705,36.79653679653679,9.956709956709958
Zm00001eb442200_T001,312,35.256410256410255,18.269230769230766,36.217948717948715
Zm00001eb441960_T001,903,48.6157253599114,25.91362126245847,26.688815060908084
Zm00001eb440690_T001,840,50.95238095238095,26.42857142857143,26.785714285714285
Zm00001eb440700_T001,984,46.95121951219512,24.796747967479675,26.93089430894309
Zm00001eb440720_T001,531,66.29001883239172,34.08662900188324,19.774011299435028
Zm00001eb440710_T001,759,48.74835309617918,26.745718050065875,26.745718050065875
